Percobaan,Model,Accuracy,Precision,Recall,F1-Score
ANN Percobaan baseline udersampling,ANN,0.7811361981063365,0.7612940724327322,0.7987347643790736,0.7699973654578464
ANN Percobaan normalisasi udersampling,ANN,0.8300558387958242,0.8076620784411958,0.837765745789721,0.8162301083345618
ANN Percobaan pca 7 udersampling,ANN,0.7631706724933236,0.741923931519272,0.7790400605285723,0.7498134697497434
ANN Percobaan pca 6 udersampling,ANN,0.7280893420733188,0.717612425233197,0.7463526603648557,0.7171711644471103
ANN Percobaan pca 5 udersampling,ANN,0.6817188638018936,0.6686865465677092,0.7028470919992096,0.6701205489086819
