iter	MultiClass
0	1.595766702
1	1.583116202
2	1.572524226
3	1.563338213
4	1.553492621
5	1.545757962
6	1.537630547
7	1.529006982
8	1.521644521
9	1.515137682
10	1.508825649
11	1.502718724
12	1.495671958
13	1.489427524
14	1.484512338
15	1.478678173
16	1.472218687
17	1.466542816
18	1.462496605
19	1.458191706
20	1.452824817
21	1.449454939
22	1.444477106
23	1.44050804
24	1.436226468
25	1.432055144
26	1.427442005
27	1.424012002
28	1.419878073
29	1.416405764
30	1.412767646
31	1.408483101
32	1.405274637
33	1.401551924
34	1.39812218
35	1.394056142
36	1.390888508
37	1.387668354
38	1.384568734
39	1.381010349
40	1.377790795
41	1.374528736
42	1.370528366
43	1.367079806
44	1.364796856
45	1.362315679
46	1.360142852
47	1.357322461
48	1.35492292
49	1.352048516
50	1.349647906
51	1.347297803
52	1.345408831
53	1.343533344
54	1.34102027
55	1.339055203
56	1.337223775
57	1.334511615
58	1.332791931
59	1.331361711
60	1.330173406
61	1.328139235
62	1.32511375
63	1.322409684
64	1.320724356
65	1.319066385
66	1.317224293
67	1.314910182
68	1.312322413
69	1.310412044
70	1.308932098
71	1.307237944
72	1.305262783
73	1.302925231
74	1.300859695
75	1.29958641
76	1.298193414
77	1.296227443
78	1.29423055
79	1.291734789
80	1.289881481
81	1.288056865
82	1.286195257
83	1.284784804
84	1.283143054
85	1.281372076
86	1.279864002
87	1.278686577
88	1.276793938
89	1.274384805
90	1.272366195
91	1.271199715
92	1.269387947
93	1.267141288
94	1.265393404
95	1.263752746
96	1.261425545
97	1.259816802
98	1.258283721
99	1.256300573
100	1.254517473
101	1.252392559
102	1.251233869
103	1.249384357
104	1.247540787
105	1.245886413
106	1.244140379
107	1.242382686
108	1.241488339
109	1.239659483
110	1.238578912
111	1.237011238
112	1.235446161
113	1.234239218
114	1.232676483
115	1.231254536
116	1.229180056
117	1.227948816
118	1.226726456
119	1.224911199
120	1.223855564
121	1.222690929
122	1.220961759
123	1.219577135
124	1.218013273
125	1.2169725
126	1.215813628
127	1.214736978
128	1.213086694
129	1.21193518
130	1.210611236
131	1.209011836
132	1.207708037
133	1.20650236
134	1.205073231
135	1.204107935
136	1.203202597
137	1.201717574
138	1.199559556
139	1.197784609
140	1.196079422
141	1.194606672
142	1.193761567
143	1.192783642
144	1.191369059
145	1.190403792
146	1.1891933
147	1.188333494
148	1.187120188
149	1.185986696
