Percobaan,Model,Accuracy,Precision,Recall,F1-Score
ANN Percobaan baseline randomoversampling,ANN,0.8623452294246177,0.8432575039831616,0.8618208222369661,0.8472403281349331
ANN Percobaan normalisasi randomoversampling,ANN,0.8780043699927167,0.8594726235603087,0.8705824336986137,0.8616337472450551
ANN Percobaan pca 7 randomoversampling,ANN,0.8027433843165817,0.785356302041682,0.8084256780151844,0.787998557991496
ANN Percobaan pca 6 randomoversampling,ANN,0.7725176013595533,0.7640564874220999,0.7846948627892143,0.7609547740759116
ANN Percobaan pca 5 randomoversampling,ANN,0.7149793639232823,0.7010546993742105,0.7400534380398757,0.7072008960153376
