Percobaan,Model,Accuracy,Precision,Recall,F1-Score
ANN Percobaan baseline udersampling,ANN,0.8008858890529424,0.8083878929649995,0.8007720789152168,0.8015411646176684
ANN Percobaan normalisasi udersampling,ANN,0.8316810799409408,0.8365008316347835,0.8313320630363211,0.8318882289013165
ANN Percobaan pca 7 udersampling,ANN,0.7650284750052732,0.7759398343201988,0.7648485938528002,0.7653030870581183
ANN Percobaan pca 6 udersampling,ANN,0.738662729381987,0.7476685117973876,0.7382646848494427,0.7386393096713637
ANN Percobaan pca 5 udersampling,ANN,0.6912043872600717,0.6999259915718372,0.6912947911332674,0.6903981177246258
